sample_id,repo,commit_sha,method_uri,jsonl_file,jsonl_line_number,method_identity,doc_refs,call_context,inheritdoc,notes
S044,mockito/mockito,9791e19830f967ec6ed0aa9f5aad7a946cc25b97,mockito-core/src/main/java/org/mockito/internal/invocation/InvocationsFinder.java#org.mockito.internal.invocation.InvocationsFinder.findFirstUnverified(java.util.List):org.mockito.invocation.Invocation,jsonl/mockito__mockito/method_contexts.jsonl.gz,1331,,,,,
S045,mockito/mockito,9791e19830f967ec6ed0aa9f5aad7a946cc25b97,mockito-core/src/main/java/org/mockito/internal/junit/JUnitTestRule.java#org.mockito.internal.junit.JUnitTestRule.strictness(org.mockito.quality.Strictness):org.mockito.junit.MockitoTestRule,jsonl/mockito__mockito/method_contexts.jsonl.gz,1421,,,,,
S046,mockito/mockito,9791e19830f967ec6ed0aa9f5aad7a946cc25b97,mockito-core/src/main/java/org/mockito/internal/matchers/text/FormattedText.java#org.mockito.internal.matchers.text.FormattedText.FormattedText(java.lang.String):void,jsonl/mockito__mockito/method_contexts.jsonl.gz,1618,,,,,
S047,mockito/mockito,9791e19830f967ec6ed0aa9f5aad7a946cc25b97,mockito-core/src/main/java/org/mockito/internal/progress/MockingProgressImpl.java#org.mockito.internal.progress.MockingProgressImpl.reset():void,jsonl/mockito__mockito/method_contexts.jsonl.gz,1684,,,,,
S048,mockito/mockito,9791e19830f967ec6ed0aa9f5aad7a946cc25b97,mockito-core/src/main/java/org/mockito/internal/stubbing/OngoingStubbingImpl.java#org.mockito.internal.stubbing.OngoingStubbingImpl.thenAnswer(org.mockito.stubbing.Answer):org.mockito.stubbing.OngoingStubbing,jsonl/mockito__mockito/method_contexts.jsonl.gz,1814,,,,,
S049,mockito/mockito,9791e19830f967ec6ed0aa9f5aad7a946cc25b97,mockito-core/src/main/java/org/mockito/invocation/MatchableInvocation.java#org.mockito.invocation.MatchableInvocation.hasSimilarMethod(org.mockito.invocation.Invocation):boolean,jsonl/mockito__mockito/method_contexts.jsonl.gz,2436,,,,,
S050,jhy/jsoup,a57f14febb20f7887227598193781a290585a39d,src/main/java/org/jsoup/helper/HttpConnection.java#org.jsoup.helper.HttpConnection.method(org.jsoup.Connection$Method):org.jsoup.Connection,jsonl/jhy__jsoup/method_contexts.jsonl.gz,318,,,,,
S051,jhy/jsoup,a57f14febb20f7887227598193781a290585a39d,src/main/java/org/jsoup/helper/Re2jRegex.java#org.jsoup.helper.Re2jRegex.matcher(java.lang.CharSequence):org.jsoup.helper.Regex$Matcher,jsonl/jhy__jsoup/method_contexts.jsonl.gz,344,,,,,
S052,jhy/jsoup,a57f14febb20f7887227598193781a290585a39d,src/main/java/org/jsoup/nodes/Attribute.java#org.jsoup.nodes.Attribute.toString():java.lang.String,jsonl/jhy__jsoup/method_contexts.jsonl.gz,567,,,,,
S053,jhy/jsoup,a57f14febb20f7887227598193781a290585a39d,src/main/java/org/jsoup/nodes/Element.java#org.jsoup.nodes.Element.traverse(org.jsoup.select.NodeVisitor):org.jsoup.nodes.Element,jsonl/jhy__jsoup/method_contexts.jsonl.gz,868,,,,,
